variety,Qte_12S,Qte_2S,Ratio,P12S,P2S,Qte_tx_12S,Qte_tx_2S
BRA_005_Sarepta,327.2932183,402.2066765,0.813743872,44.86542364,55.13457636,64.77205982,79.59760074
BRA_008_Aviso,256.4379958,243.0936865,1.033187844,50.81615293,49.18384707,51.2158969,48.584728
BRA_009_Jupiter,196.4412231,344.3145566,0.573242375,36.43700324,63.56299676,39.1200285,68.58855709
BRA_011_Lembke,103.6058371,192.229019,0.53174759,34.71509232,65.28490768,20.39484983,37.85751427
MP_001_Astrid,262.8404784,238.427634,1.100338356,52.38862362,47.61137638,52.20267693,47.26018513
MP_003_Mohican,324.9185286,308.8256169,1.045751621,51.11821055,48.88178945,64.57687143,61.16569952
R_002_Alsace1360,420.7570693,392.9386405,1.065685319,51.58991591,48.41008409,83.51668704,77.99496635
R_008_Fertodielit,314.7954284,486.2909231,0.647339717,39.29606687,60.70393313,62.89618949,97.16102361
R_011_Gaspard,305.4267333,489.6940026,0.620341554,38.28461676,61.71538324,60.92086033,97.6750778
R_014_GoldgelberZarterButter,507.782531,267.8944329,1.845376403,64.85526488,35.14473512,101.0210944,53.45593792
R_023_Lembke,326.1199516,366.2927049,0.890326089,47.0990743,52.9009257,64.89949285,72.89407063
R_027_Major,177.3572086,314.2952262,0.552601804,35.59198518,64.40801482,35.31253531,62.7837048
R_029_Markus,312.7808053,469.7409669,0.665858052,39.97087576,60.02912424,62.4936674,93.85433903
R_030_Matador,312.8959128,435.2178377,0.741291468,42.57136049,57.42863951,62.14417335,86.43849805
R_033_Moldavia,331.8864366,593.9861763,0.560438504,35.91544959,64.08455041,65.83089092,117.8193348
R_035_NaindeHambourg,456.0268847,510.1391717,0.89182035,47.14085828,52.85914172,90.93257919,101.3991595
R_038_Oleski,192.3862549,340.894769,0.555044299,35.6931503,64.3068497,38.2705898,67.81276488
R_041_Orleans,437.3958825,414.6827405,1.029541083,50.72777741,49.27222259,86.58732704,82.0910107
R_045_Pradel,347.6676355,498.5508573,0.701839945,41.24006769,58.75993231,69.24960372,98.73271755
R_050_QuedLinburgerPlatzfester,234.5750833,457.9990184,0.508142921,33.6932869,66.3067131,46.78402139,91.34404036
R_051_Ramses,322.8283984,440.8114301,0.72216378,41.93351344,58.06648656,63.88214078,87.2289364
R_054_Rochechouard,329.1471995,446.970981,0.719282797,41.83621208,58.16378792,65.34588039,88.73753841
R_062_Titus,335.5766273,370.5995361,0.925980728,48.07840049,51.92159951,66.77477411,73.74381376
R_063_Tonus,282.9324856,386.9249244,0.732328377,42.27422392,57.72577608,56.37228245,77.09203514
R_068_Zeruca,NA,NA,NA,64.02053631,35.97946369,NA,NA
R_070_Askari,313.2426279,412.782317,0.758856703,43.14488505,56.85511495,62.36166194,82.17844255
R_073_Belinda,211.0905419,381.7171317,0.544943924,35.27273163,64.72726837,41.75050276,75.49785042
R_076_Bienvenu.R33,418.9968816,355.5915014,1.178309605,54.09284348,45.90715652,83.47382839,70.84201641
R_077_Brink,173.3610536,312.3279029,0.55506105,35.693843,64.306157,34.62719536,62.38448076
R_080_Constable,365.1941871,465.1018221,0.785191908,43.98361344,56.01638656,72.45916411,92.28210756
R_081_Doral,263.0969119,344.0031534,0.780047389,43.82172034,56.17827966,52.31594987,68.40388812
R_084_Emil,223.6341689,385.9568278,0.583393218,36.84449393,63.15550607,44.57972071,76.69286196
R_099_Kurander,282.9438389,408.7818799,0.676152889,40.33957125,59.66042875,56.2456692,81.09142629
R_108_Mikado,267.6473206,378.5106166,0.707106509,41.42134689,58.57865311,53.47598814,75.62649681
R_115_Rafal,256.2864971,357.3502252,0.714652257,41.67913663,58.32086337,50.72971044,70.73440721
R_122_Start,271.3886467,334.6509379,0.815367587,44.91473754,55.08526246,53.86833003,66.42535489
R_124_Valdor,229.4079503,327.7175015,0.698897798,41.13830738,58.86169262,45.52196653,65.13012881
R_128_Adriana,330.7442325,285.8923149,1.148100846,53.44725077,46.55274923,65.66945945,56.76408516
R_132_Aligator,383.1934605,251.1948766,1.5004349,60.00695719,39.99304281,76.43994823,50.10869272
R_135_Amber,336.5824705,347.3341222,0.976610372,49.40833994,50.59166006,67.10176844,69.24523968
R_138_Ariana,283.1434151,391.8022524,0.722669187,41.95054931,58.04945069,56.17924902,77.73854214
R_139_Atlantic,383.9420527,322.7961003,1.200929739,54.56465591,45.43534409,76.26977606,64.12318242
R_140_Aurum,357.3947018,308.3958112,1.15292399,53.55154177,46.44845823,71.03144227,61.29301624
R_144_Bellini,309.8383288,309.3840785,1.004169813,50.10402843,49.89597157,61.54301893,61.45279145
R_146_Bolko.POH285,416.2062065,419.1422645,0.99299508,49.82426148,50.17573852,82.90960288,83.494475
R_148_Boston,312.9304874,298.0801721,1.04981987,51.21522555,48.78477445,62.51732843,59.55052884
R_154_Campala,321.6416894,306.8744302,1.048121504,51.17477172,48.82522828,63.912904,60.97852562
R_155_Canberra,215.8057523,256.0636523,0.842781669,45.73421168,54.26578832,42.60725614,50.55550884
R_156_Cancan,326.1530427,264.0573119,1.220774796,54.97067052,45.02932948,64.9319217,52.56964203
R_158_Capitol,365.7481381,301.5809117,1.213770892,54.82820722,45.17179278,72.95939758,60.19579076
R_160_Capricorn,284.012201,318.0656492,0.882189535,46.87038783,53.12961217,56.80244021,63.61312983
R_162_CAPVERT,296.0206176,342.5457137,0.864178432,46.35706631,53.64293369,58.9565062,68.22260779
R_165_Ceres,99.32330609,161.6283332,0.60776532,37.80186775,62.19813225,19.80919547,32.26114436
R_167_Chelsi,97.01746291,147.8836415,0.679912032,40.47307353,59.52692647,19.1507033,29.47944613
R_168_Cheops,299.1816833,339.3628656,0.869419595,46.50746131,53.49253869,59.40269698,67.49460334
R_171_Colvert,384.8240388,309.3652189,1.248684211,55.52954944,44.47045056,76.50577311,61.56521768
R_174_Contact,330.9905843,324.2614066,1.031800437,50.78256792,49.21743208,65.58164936,64.44626982
R_175_Courage,277.7184681,296.822524,0.913184053,47.73111356,52.26888644,55.13021698,58.92258542
R_176_Darmor,311.5828338,381.0017414,0.826875385,45.26172896,54.73827104,62.0744763,75.90432143
R_178_Doublol,390.0351801,333.3091105,1.159663369,53.69648742,46.30351258,77.2805984,66.26797533
R_180_Ecrin,238.8176506,295.3580582,0.833130721,45.44851665,54.55148335,47.42679985,58.65516001
R_190_Evri,219.411323,304.7810731,0.72490513,42.02579708,57.97420292,43.65960064,60.64691535
R_193_Express,362.3609749,302.0479997,1.193892199,54.41890899,45.58109101,72.44321769,60.38544577
R_199_Frederic,284.6734181,334.5844752,0.850826739,45.97009116,54.02990884,56.92899072,66.91020402
R_202_Goeland,236.3696034,289.9156794,0.809906742,44.74853444,55.25146556,46.87547911,57.4944332
R_207_Ibex,446.8480472,274.628582,1.638664557,62.10204145,37.89795855,89.28032912,54.76689241
R_208_Idol,274.2516803,344.1278088,0.817907363,44.99169647,55.00830353,54.51777761,68.32677629
R_209_Inca,319.9277324,310.2125933,1.031317681,50.77087108,49.22912892,63.51553154,61.58677651
R_215_Kadore,349.932637,349.7456061,1.002335353,50.05831572,49.94168428,69.35539332,69.31832447
R_216_Kosto,384.7919164,419.8371142,0.931885149,48.2370885,51.7629115,76.34760247,83.30101473
R_219_Lewis,360.8125946,274.7861158,1.34251785,57.31089093,42.68910907,71.7392573,54.70013253
R_222_Licorne,355.7286709,352.1671082,1.032179505,50.79174859,49.20825141,70.72843641,70.02030186
R_226_Lioness,474.3585226,240.4797754,1.970469392,66.33528686,33.66471314,94.50314226,47.90910956
R_227_Liporta,277.7227066,217.1564177,1.292443029,56.37841433,43.62158567,55.48350947,43.38356162
R_230_Lirabon,315.3309416,298.2846702,1.057147661,51.38900242,48.61099758,62.65890543,59.2716682
R_235_Mar,407.2141084,377.4851341,1.067834572,51.64023209,48.35976791,81.12642861,75.03928718
R_238_Milena,322.5607932,251.9614335,1.282661395,56.19148762,43.80851238,64.05735145,50.03702382
R_245_Navajo,281.6402664,276.0456666,1.027041372,50.66701578,49.33298422,55.9639726,54.7601005
R_246_NSL96.25,110.6273993,118.5290795,0.941980185,48.50616871,51.49383129,21.95423682,23.48738324
R_248_Oase,352.4059643,259.5933504,1.365953498,57.73374241,42.26625759,70.27038171,51.60901598
R_251_Olymp,301.4988495,288.0187521,1.046223769,51.12948959,48.87051041,59.70865423,56.99391552
R_253_Pacific,302.8434756,211.6794998,1.433292635,58.90342223,41.09657777,59.99276459,41.93333989
R_254_PAYROL,181.8373297,251.6206011,0.695418657,41.01751823,58.98248177,35.84767466,50.04885153
R_256_Pollen,216.8654859,240.3474551,0.902299905,47.43205331,52.56794669,42.90118416,47.54647975
R_261_Remy,293.3770512,230.7102064,1.272057818,55.98703555,44.01296445,58.39511369,45.92161752
R_263_Rocket,245.4873025,255.618584,0.947082449,48.64110657,51.35889343,48.38141554,50.37812062
R_265_Roxet,265.1772631,328.8768171,0.827954597,45.29404606,54.70595394,52.90319463,65.61133507
R_267_Salomont,67.65197094,102.0370941,0.651630666,39.45377616,60.54622384,13.27941328,20.2715991
R_270_Shogun,265.362307,235.9940093,1.124445098,52.92888478,47.07111522,52.64602857,46.81956339
R_271_SWGospel,217.2269149,329.2356216,0.682040245,40.5483904,59.4516096,42.87937523,64.98926601
R_273_TAROX,341.3831365,211.2826195,1.615765354,61.77027124,38.22972876,67.53375599,41.79675955
R_277_Tenor,237.3832153,291.6290526,0.813990284,44.8729131,55.1270869,47.14661673,57.92036795
R_278_TOR,389.3050257,229.9255631,1.693178525,62.86915291,37.13084709,77.33512629,45.67452584
R_281_Tradition,292.301756,279.43622,1.061332171,51.48768286,48.51231714,58.22744143,55.66458566
R_282_Twister,116.4112988,136.9953204,0.871421445,46.56468201,53.43531799,22.89758041,26.95123591
R_292_Zorro,317.6504087,296.0798696,1.067866039,51.64096798,48.35903202,62.77676062,58.51380821
R_342_Madora2.DS3,91.53475023,125.0556512,0.703662959,41.30294405,58.69705595,18.12031084,24.75369184
R_343_Madora3.DS1,328.1213442,266.2607208,1.254257404,55.6394936,44.3605064,64.87816989,52.64670702
R_349_Olimpiade2.DS2,91.03350893,183.0852148,0.491677714,32.96139035,67.03860965,17.891806,36.38929625
R_363_MANSHOLTS,276.305601,417.4335978,0.667919141,40.0450552,59.9549448,54.74650306,82.70925258
R_375_CETMEKI,319.0653648,441.1715794,0.723222845,41.96920016,58.03079984,63.50823344,87.81281437
R_406_KORMOVOISKRIVERSKYI,314.7310021,498.8808848,0.635579684,38.85959762,61.14040238,62.42185683,98.94503864
R_430_RANGI,340.283954,530.9350097,0.632742449,38.75335325,61.24664675,67.40298187,105.1877186
